"Date","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Vegetable oil, LYD/Liter","Libyan Arab Jamahiriya, RETAIL, Sebha, Vegetable oil, LYD/Liter","Libyan Arab Jamahiriya, RETAIL, National Average, Vegetable oil, LYD/Liter","Libyan Arab Jamahiriya, RETAIL, Murzuq, Vegetable oil, LYD/Liter","Libyan Arab Jamahiriya, RETAIL, Misrata, Vegetable oil, LYD/Liter","Libyan Arab Jamahiriya, RETAIL, Benghazi, Vegetable oil, LYD/Liter","Libyan Arab Jamahiriya, RETAIL, Alkufra, Vegetable oil, LYD/Liter","Libyan Arab Jamahiriya, RETAIL, Algatroun, Vegetable oil, LYD/Liter","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Vegetable oil, USD/Liter","Libyan Arab Jamahiriya, RETAIL, Sebha, Vegetable oil, USD/Liter","Libyan Arab Jamahiriya, RETAIL, National Average, Vegetable oil, USD/Liter","Libyan Arab Jamahiriya, RETAIL, Murzuq, Vegetable oil, USD/Liter","Libyan Arab Jamahiriya, RETAIL, Misrata, Vegetable oil, USD/Liter","Libyan Arab Jamahiriya, RETAIL, Benghazi, Vegetable oil, USD/Liter","Libyan Arab Jamahiriya, RETAIL, Alkufra, Vegetable oil, USD/Liter","Libyan Arab Jamahiriya, RETAIL, Algatroun, Vegetable oil, USD/Liter","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Vegetable oil, LYD-real/Liter","Libyan Arab Jamahiriya, RETAIL, Sebha, Vegetable oil, LYD-real/Liter","Libyan Arab Jamahiriya, RETAIL, National Average, Vegetable oil, LYD-real/Liter","Libyan Arab Jamahiriya, RETAIL, Murzuq, Vegetable oil, LYD-real/Liter","Libyan Arab Jamahiriya, RETAIL, Misrata, Vegetable oil, LYD-real/Liter","Libyan Arab Jamahiriya, RETAIL, Benghazi, Vegetable oil, LYD-real/Liter","Libyan Arab Jamahiriya, RETAIL, Alkufra, Vegetable oil, LYD-real/Liter","Libyan Arab Jamahiriya, RETAIL, Algatroun, Vegetable oil, LYD-real/Liter"
"02/01/2025","7","7.88","8.05","10.25","7","9.85","10.44","9.75","1.43","1.61","1.64","2.09","1.43","2.01","2.13","1.99","2.42","2.73","2.79","3.55","2.42","3.41","3.61","3.38"
"01/01/2025","8.88","6.88","8.34","11","9","5.06","10","10","1.8","1.4","1.69","2.23","1.83","1.03","2.03","2.03","3.08","2.39","2.89","3.82","3.12","1.76","3.47","3.47"
"12/01/2024","8.5","7.38","8.35","9.13","8.5","9.41","10","9.5","1.74","1.51","1.71","1.87","1.74","1.92","2.04","1.94","2.96","2.57","2.9","3.18","2.96","3.27","3.48","3.3"
"11/01/2024","8","6.31","8.2","9.69","8","9.21","9.55","9.63","1.64","1.3","1.69","1.99","1.64","1.89","1.96","1.98","2.79","2.2","2.86","3.38","2.79","3.21","3.33","3.36"
"10/01/2024","8.75","6.63","8.26","8.75","7.88","8.91","10","8","1.82","1.38","1.72","1.82","1.64","1.86","2.08","1.67","3.06","2.32","2.88","3.06","2.75","3.11","3.49","2.79"
"09/01/2024","8.25","8","8.49","10","8.24","8.94","11.76","10","1.74","1.68","1.79","2.1","1.73","1.88","2.47","2.1","2.88","2.79","2.96","3.49","2.88","3.12","4.11","3.49"
"08/01/2024","7.38","8","8.56","9.75","8.29","9.13","11.76","9.8","1.54","1.67","1.78","2.03","1.73","1.9","2.45","2.04","2.61","2.82","3.02","3.44","2.93","3.22","4.15","3.46"
"07/01/2024","7.56","8","8.41","9.4","8.24","9.25","11.76","9.13","1.57","1.66","1.74","1.95","1.71","1.92","2.44","1.89","2.67","2.83","2.97","3.32","2.91","3.27","4.16","3.23"
"06/01/2024","7.38","9.75","8.42","9.88","7.19","9.38","11.11","9","1.52","2.01","1.74","2.04","1.48","1.93","2.29","1.86","2.61","3.45","2.98","3.5","2.55","3.32","3.93","3.19"
"05/01/2024","7.63","8.25","8.38","10.5","7.48","9.75","10.59","10","1.57","1.7","1.73","2.16","1.54","2.01","2.18","2.06","2.7","2.92","2.97","3.72","2.65","3.46","3.75","3.54"
"04/01/2024","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2024","6.5","8","8.04","10","6.88","9.45","10","10","1.35","1.66","1.67","2.08","1.43","1.96","2.08","2.08","2.31","2.84","2.86","3.55","2.44","3.36","3.55","3.55"
"02/01/2024","6.13","8","7.24","10","6.75","7.5","1","10","1.27","1.65","1.5","2.07","1.4","1.55","0.21","2.07","2.18","2.85","2.58","3.56","2.4","2.67","0.36","3.56"
"01/01/2024","7.89","7","7.82","10","7.5","6.63","10","10","1.64","1.45","1.63","2.08","1.56","1.38","2.08","2.08","2.81","2.5","2.79","3.57","2.68","2.37","3.57","3.57"
"12/01/2023","6.5","8","7.47","10","6.5","8","8.71","10","1.35","1.66","1.55","2.08","1.35","1.66","1.81","2.08","2.32","2.86","2.67","3.57","2.32","2.86","3.11","3.57"
"11/01/2023","6.5","7.3","7.51","10","6.2","","8.8","10","1.34","1.51","1.55","2.06","1.28","","1.82","2.06","2.33","2.61","2.69","3.58","2.22","","3.15","3.58"
"10/01/2023","0.01","7.75","6.55","10","6","6.25","1","10","","1.58","1.34","2.04","1.23","1.28","0.2","2.04","","2.77","2.34","3.58","2.15","2.24","0.36","3.58"
"09/01/2023","7.9","7.5","7.54","10","6.8","7.5","1","10","1.63","1.55","1.55","2.06","1.4","1.55","0.21","2.06","2.83","2.69","2.7","3.58","2.44","2.69","0.36","3.58"
"08/01/2023","8.1","8","7.29","10","6","7","1","10.3","1.68","1.66","1.51","2.08","1.25","1.45","0.21","2.14","2.91","2.87","2.62","3.59","2.15","2.51","0.36","3.7"
"07/01/2023","7.21","7.75","7.79","10","6.5","8","10","7.5","1.51","1.62","1.63","2.09","1.36","1.68","2.09","1.57","2.59","2.79","2.8","3.6","2.34","2.88","3.6","2.7"
"06/01/2023","9.71","11.76","10.74","","","","","","2.02","2.44","2.23","","","","","","3.49","4.23","3.86","","","","",""
"05/01/2023","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2023","11.15","10","9.8","","","8.25","","","2.34","2.1","2.06","","","1.73","","","4.01","3.6","3.52","","","2.97","",""
"03/01/2023","10.58","10","10.04","","10","7.5","9","","2.2","2.08","2.09","","2.08","1.56","1.87","","3.81","3.6","3.62","","3.6","2.7","3.24",""
"02/01/2023","10","10","10.65","","10.44","","","","2.08","2.08","2.22","","2.17","","","","3.62","3.62","3.85","","3.78","","",""
"01/01/2023","10.87","","10.61","","10.89","10.25","10.5","","2.27","","2.22","","2.28","2.14","2.2","","3.94","","3.84","","3.95","3.71","3.8",""
"12/01/2022","11.99","13","11.28","12","11.39","8.5","13","12.25","2.48","2.69","2.33","2.48","2.35","1.76","2.69","2.53","4.36","4.73","4.1","4.36","4.14","3.09","4.73","4.46"
"11/01/2022","11.95","13","11.66","13.25","11.76","11","13","14","2.42","2.63","2.36","2.68","2.38","2.23","2.63","2.84","4.35","4.73","4.24","4.82","4.28","4","4.73","5.1"
"10/01/2022","13.06","13","11.9","13.5","13.33","11","13","13","2.56","2.55","2.33","2.64","2.61","2.15","2.55","2.55","4.77","4.74","4.34","4.93","4.87","4.01","4.74","4.74"
"09/01/2022","12.78","13","12.04","14","13.33","12.39","13","14","2.57","2.61","2.42","2.81","2.68","2.49","2.61","2.81","4.68","4.76","4.41","5.12","4.88","4.53","4.76","5.12"
"08/01/2022","","","","","","","","","","","","","","","","","","","","","","","",""
"07/01/2022","","","","","","","","","","","","","","","","","","","","","","","",""
"06/01/2022","10.14","11","10.81","12","11.95","10","11","12","2.11","2.29","2.25","2.5","2.49","2.08","2.29","2.5","3.73","4.05","3.98","4.42","4.4","3.68","4.05","4.42"
"05/01/2022","14","10","11.49","10","14.13","11.63","11","10","2.92","2.09","2.4","2.09","2.95","2.43","2.3","2.09","5.16","3.68","4.23","3.68","5.21","4.28","4.05","3.68"
"04/01/2022","10.14","11","10.81","12","11.95","10","11","12","2.15","2.34","2.3","2.55","2.54","2.12","2.34","2.55","3.73","4.05","3.98","4.41","4.39","3.68","4.05","4.41"
"03/01/2022","9.15","9","8.74","10","9.12","8","9","10.25","1.97","1.93","1.88","2.15","1.96","1.72","1.93","2.2","3.38","3.32","3.22","3.69","3.36","2.95","3.32","3.78"
"02/01/2022","9.5","9.5","7.95","10","4","7","9.5","10","2.07","2.07","1.73","2.18","0.87","1.52","2.07","2.18","3.54","3.54","2.96","3.73","1.49","2.61","3.54","3.73"
"01/01/2022","9.41","8.5","8.63","9.25","9.41","7.5","8.5","10","2.05","1.85","1.88","2.01","2.05","1.63","1.85","2.18","3.54","3.2","3.25","3.48","3.54","2.82","3.2","3.76"
"12/01/2021","","8","8.72","","9.17","7","10","10","","1.74","1.9","","1.99","1.52","2.17","2.17","","3.03","3.3","","3.47","2.65","3.79","3.79"
"11/01/2021","","8.5","8.52","","9.44","","8.5","8","","1.86","1.86","","2.06","","1.86","1.75","","3.18","3.19","","3.53","","3.18","3"
"10/01/2021","","8","8.25","","8.67","7.25","9","7","","1.76","1.81","","1.9","1.59","1.98","1.54","","3.04","3.13","","3.29","2.75","3.42","2.66"
"09/01/2021","","8.5","7.89","","6.88","7","8.5","7.5","","1.88","1.74","","1.52","1.55","1.88","1.66","","3.25","3.01","","2.63","2.67","3.25","2.86"
"08/01/2021","","8.5","7.36","","6","5.25","9","6","","1.88","1.63","","1.33","1.16","1.99","1.33","","3.25","2.81","","2.29","2.01","3.44","2.29"
"07/01/2021","","9","7.21","","4.13","5","9","8","","1.99","1.6","","0.91","1.11","1.99","1.77","","3.45","2.76","","1.58","1.92","3.45","3.07"
"06/01/2021","","8","6.92","","4.5","5.5","8","6","","1.79","1.54","","1","1.23","1.79","1.34","","3.09","2.67","","1.74","2.13","3.09","2.32"
"05/01/2021","","8.5","6.97","","4","7","8.5","5.5","","1.9","1.56","","0.9","1.57","1.9","1.23","","3.29","2.7","","1.55","2.71","3.29","2.13"
"04/01/2021","","8","7.31","","3.25","8.5","8","6.5","","1.78","1.62","","0.72","1.89","1.78","1.44","","3.1","2.84","","1.26","3.3","3.1","2.52"
"03/01/2021","6.75","7.5","7.22","","4","4.75","8","5.5","1.5","1.67","1.6","","0.89","1.05","1.78","1.22","2.63","2.92","2.82","","1.56","1.85","3.12","2.14"
"02/01/2021","6.88","8","7.61","","6.63","7.5","8","5","1.54","1.79","1.7","","1.48","1.68","1.79","1.12","2.69","3.13","2.98","","2.59","2.93","3.13","1.95"
"01/01/2021","7.25","7","5.91","","3.5","4","7","5.5","1.63","1.57","1.33","","0.79","0.9","1.57","1.23","2.84","2.74","2.31","","1.37","1.57","2.74","2.15"
"12/01/2020","","4.5","4.82","","3","4","5","5","","3.36","3.6","","2.24","2.99","3.73","3.73","","1.77","1.89","","1.18","1.57","1.96","1.96"
"11/01/2020","5.5","4.5","4.94","","3.75","4","4.5","5.5","4.04","3.31","3.63","","2.76","2.94","3.31","4.04","2.17","1.77","1.95","","1.48","1.58","1.77","2.17"
"10/01/2020","","4.5","4.83","","3.63","4","5","5","","3.28","3.53","","2.65","2.92","3.65","3.65","","1.78","1.91","","1.44","1.58","1.98","1.98"
"09/01/2020","","5","4.96","","3.5","4","5","5","","3.65","3.62","","2.55","2.92","3.65","3.65","","1.98","1.96","","1.39","1.58","1.98","1.98"
"08/01/2020","4.5","5","5","","3.5","4.5","5","6","3.28","3.65","3.65","","2.55","3.28","3.65","4.38","1.78","1.98","1.98","","1.38","1.78","1.98","2.37"
"07/01/2020","4.25","5.5","5.41","","4.5","4.5","6","6","3.06","3.96","3.89","","3.24","3.24","4.32","4.32","1.68","2.17","2.14","","1.78","1.78","2.37","2.37"
"06/01/2020","5","5.5","5.45","","4.5","4","6","6","3.55","3.9","3.87","","3.19","2.84","4.26","4.26","1.97","2.17","2.15","","1.78","1.58","2.37","2.37"
"05/01/2020","5.25","6.25","5.73","","4.25","4","5","6","3.72","4.43","4.06","","3.01","2.84","3.55","4.26","2.06","2.46","2.25","","1.67","1.57","1.97","2.36"
"04/01/2020","5.5","16","6.79","","4.25","4.13","5","7.75","3.9","11.35","4.82","","3.01","2.93","3.55","5.5","2.14","6.24","2.65","","1.66","1.61","1.95","3.02"
"03/01/2020","4.25","4.6","4.57","","4","4.12","","","3.01","3.26","3.24","","2.84","2.92","","","1.68","1.82","1.81","","1.58","1.63","",""
"02/01/2020","3.94","4.75","4.57","","4.69","4.88","5","5.5","2.79","3.37","3.24","","3.33","3.46","3.55","3.9","1.58","1.91","1.84","","1.88","1.96","2.01","2.21"
"01/01/2020","4.56","4.25","4.54","","","4.88","5","4.88","3.26","3.04","3.24","","","3.49","3.57","3.49","1.84","1.71","1.83","","","1.97","2.01","1.97"
"12/01/2019","","4.62","4.58","","4","4.69","5","4.75","","3.3","3.27","","2.85","3.35","3.57","3.39","","1.87","1.85","","1.61","1.89","2.02","1.92"
"11/01/2019","5.04","5.05","4.66","","5.57","4.73","5","4.75","3.58","3.59","3.31","","3.96","3.36","3.56","3.38","2.03","2.03","1.87","","2.24","1.9","2.01","1.91"
"10/01/2019","","5.44","4.65","","5","4.67","4.75","5.75","","3.86","3.3","","3.55","3.31","3.37","4.08","","2.19","1.87","","2.01","1.88","1.91","2.31"
"09/01/2019","4.19","4.75","4.52","","4.17","4.31","5.5","5.5","2.97","3.36","3.2","","2.95","3.05","3.89","3.89","1.69","1.92","1.83","","1.68","1.74","2.22","2.22"
"08/01/2019","","5.14","4.55","5","4.58","4.13","4.75","5.5","","3.65","3.23","3.55","3.25","2.93","3.38","3.91","","2.07","1.83","2.01","1.84","1.66","1.91","2.22"
"07/01/2019","","5.25","4.85","5","4.68","4.19","4.75","5.5","","3.75","3.47","3.57","3.35","3","3.4","3.93","","2.11","1.95","2.01","1.88","1.69","1.91","2.21"
"06/01/2019","4.75","5.11","4.74","5","4.69","3.78","4.75","5.5","3.41","3.66","3.4","3.59","3.36","2.71","3.41","3.94","1.91","2.05","1.9","2.01","1.88","1.52","1.91","2.21"
"05/01/2019","","5","4.9","5","4.12","4.34","5","6.25","","3.58","3.51","3.58","2.95","3.1","3.58","4.47","","1.96","1.92","1.96","1.61","1.7","1.96","2.45"
"04/01/2019","5.06","5.25","5","5","4.88","4.11","5","5.5","3.63","3.77","3.59","3.59","3.5","2.95","3.59","3.95","2","2.07","1.97","1.97","1.93","1.62","1.97","2.17"
"03/01/2019","4.88","4.92","4.87","5","4.78","4.06","5","6.75","3.51","3.54","3.51","3.6","3.44","2.92","3.6","4.86","1.96","1.98","1.96","2.01","1.92","1.63","2.01","2.71"
"02/01/2019","5.31","5","4.95","","4.75","4.44","6","7","3.84","3.61","3.58","","3.43","3.21","4.34","5.06","2.14","2.02","2","","1.92","1.79","2.42","2.82"
"01/01/2019","5.25","5.25","5.07","8.5","5.5","4.8","5.75","7","3.79","3.79","3.66","6.14","3.97","3.46","4.15","5.05","2.13","2.13","2.06","3.45","2.23","1.95","2.33","2.84"
"12/01/2018","5.06","6","5.43","8.5","5.62","5.08","6","7.5","3.54","4.2","3.8","5.94","3.93","3.55","4.2","5.24","2.06","2.44","2.21","3.46","2.29","2.07","2.44","3.05"
"11/01/2018","","","","","","","","","","","","","","","","","","","","","","","",""
"10/01/2018","5.5","6.5","5.61","8.5","6","4.75","8","8","3.85","4.55","3.92","5.94","4.2","3.32","5.59","5.59","2.17","2.57","2.22","3.36","2.37","1.88","3.16","3.16"
"09/01/2018","","6.75","6.33","9","6","5","9","8","","4.72","4.43","6.29","4.2","3.5","6.29","5.59","","2.56","2.4","3.42","2.28","1.9","3.42","3.04"
"08/01/2018","6","6.75","6.82","8","6.25","5","6.75","8.5","4.2","4.72","4.77","5.59","4.37","3.5","4.72","5.94","2.27","2.55","2.58","3.03","2.36","1.89","2.55","3.22"
"07/01/2018","6.75","7.5","7.71","7.5","8.5","4.04","8","8","4.72","5.24","5.39","5.24","5.94","2.83","5.59","5.59","2.59","2.88","2.96","2.88","3.26","1.55","3.07","3.07"
"06/01/2018","4","4.25","4.45","5","2.63","7.25","5","5","2.8","2.97","3.11","3.5","1.84","5.07","3.5","3.5","1.55","1.65","1.73","1.94","1.02","2.82","1.94","1.94"
"05/01/2018","4","4","3.76","5","2.88","3.5","4","5","2.8","2.8","2.63","3.5","2.01","2.45","2.8","3.5","1.57","1.57","1.47","1.96","1.13","1.37","1.57","1.96"
"04/01/2018","3.6","3.5","3.63","5","2.5","3","4","5","2.52","2.45","2.54","3.5","1.75","2.1","2.8","3.5","1.44","1.4","1.45","2","1","1.2","1.6","2"
"03/01/2018","3.3","3.5","3.62","5","2.5","2.72","4.75","5","2.31","2.45","2.53","3.5","1.75","1.9","3.32","3.5","1.32","1.4","1.44","1.99","1","1.08","1.89","1.99"
"02/01/2018","3.4","3.62","3.67","5","","2.62","4.5","5.25","2.38","2.53","2.57","3.5","","1.83","3.15","3.67","1.37","1.45","1.47","2.01","","1.05","1.81","2.11"
"01/01/2018","3.25","3.88","3.86","5.5","","3","5","5","2.27","2.71","2.7","3.85","","2.1","3.5","3.5","1.27","1.51","1.5","2.14","","1.17","1.95","1.95"
"12/01/2017","","4.03","3.72","","","","","5","","2.82","2.6","","","","","3.5","","1.61","1.49","","","","","2"
"11/01/2017","","3.5","3.9","6","","","","5","","2.45","2.73","4.2","","","","3.5","","1.43","1.59","2.44","","","","2.04"
"10/01/2017","","3.5","3.93","5","","","","5","","2.45","2.75","3.5","","","","3.5","","1.48","1.66","2.12","","","","2.12"
"09/01/2017","","4","","","","","","","","2.8","","","","","","","","1.74","","","","","",""
"08/01/2017","","3.5","","","","","","","","2.45","","","","","","","","1.52","","","","","",""
"07/01/2017","","4.15","","","","","","","","2.9","","","","","","","","1.85","","","","","",""
"06/01/2017","","3","","","","","","","","2.1","","","","","","","","1.34","","","","","",""