"Date","Tunisia, RETAIL, Tunis, Tomatoes, TND/Kg","Tunisia, RETAIL, Tunis, Sugar, TND/Kg","Tunisia, RETAIL, Tunis, Semolina, TND/Kg","Tunisia, RETAIL, Tunis, Rice, TND/Kg","Tunisia, RETAIL, Tunis, Potatoes, TND/Kg","Tunisia, RETAIL, Tunis, Pasta, TND/Kg","Tunisia, RETAIL, Tunis, Lamb meat, TND/Kg","Tunisia, RETAIL, Tunis, Couscous, TND/Kg","Tunisia, RETAIL, Tunis, Chickpeas, TND/Kg","Tunisia, RETAIL, Tunis, Chicken meat, TND/Kg","Tunisia, RETAIL, Tunis, Bread, TND/Kg","Tunisia, RETAIL, Tunis, Beef meat, TND/Kg","Tunisia, RETAIL, Tunis, Tomatoes, TND-real/Kg","Tunisia, RETAIL, Tunis, Sugar, TND-real/Kg","Tunisia, RETAIL, Tunis, Semolina, TND-real/Kg","Tunisia, RETAIL, Tunis, Rice, TND-real/Kg","Tunisia, RETAIL, Tunis, Potatoes, TND-real/Kg","Tunisia, RETAIL, Tunis, Pasta, TND-real/Kg","Tunisia, RETAIL, Tunis, Lamb meat, TND-real/Kg","Tunisia, RETAIL, Tunis, Couscous, TND-real/Kg","Tunisia, RETAIL, Tunis, Chickpeas, TND-real/Kg","Tunisia, RETAIL, Tunis, Chicken meat, TND-real/Kg","Tunisia, RETAIL, Tunis, Bread, TND-real/Kg","Tunisia, RETAIL, Tunis, Beef meat, TND-real/Kg","Tunisia, RETAIL, Tunis, Tomatoes, USD/Kg","Tunisia, RETAIL, Tunis, Sugar, USD/Kg","Tunisia, RETAIL, Tunis, Semolina, USD/Kg","Tunisia, RETAIL, Tunis, Rice, USD/Kg","Tunisia, RETAIL, Tunis, Potatoes, USD/Kg","Tunisia, RETAIL, Tunis, Pasta, USD/Kg","Tunisia, RETAIL, Tunis, Lamb meat, USD/Kg","Tunisia, RETAIL, Tunis, Couscous, USD/Kg","Tunisia, RETAIL, Tunis, Chickpeas, USD/Kg","Tunisia, RETAIL, Tunis, Chicken meat, USD/Kg","Tunisia, RETAIL, Tunis, Bread, USD/Kg","Tunisia, RETAIL, Tunis, Beef meat, USD/Kg"
"11/01/2024","1918","1400","450","1450","2363","820","42656","795","9900","8500","575","37838","846.26","617.71","198.55","639.77","1042.6","361.8","18820.65","350.77","4368.07","3750.36","253.70000000000002","16694.86","610.5","445.62","143.23","461.53","752.14","261","13577.36","253.05","3151.16","2705.54","183.02499999999998","12043.8"
"10/01/2024","1548","1400","450","1450","2288","820","43000","795","10100","8600","575","37725","686.89","621.22","199.68","643.41","1015.25","363.86","19080.32","352.76","4481.66","3816.06","255.15","16739.65","501.67","453.71","145.83","469.91","741.48","265.74","13935.25","257.64","3273.16","2787.05","186.35000000000002","12225.75"
"09/01/2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/01/2024","1.43","1.4","0.45","1.45","1.98","0.82","42.69","0.8","9.85","8.78","0.5750000000000001","38.68","0.64","0.63","0.2","0.65","0.89","0.36","19.17","0.36","4.42","3.94","0.25","17.37","0.47","0.46","0.15","0.47","0.65","0.26","13.93","0.26","3.21","2.86","0.2","12.62"
"07/01/2024","1.39","1.4","0.45","1.45","1.78","0.82","43.75","0.79","9.93","8.36","0.5750000000000001","41.66","0.63","0.63","0.2","0.65","0.8","0.38","19.76","0.36","4.49","3.78","0.25","18.82","0.45","0.45","0.14","0.47","0.57","0.26","14.06","0.25","3.19","2.69","0.17500000000000002","13.39"
"06/01/2024","1.75","1.4","0.45","1.45","1.62","0.82","43.18","0.79","9.93","9.17","0.5750000000000001","40.87","0.8","0.64","0.2","0.66","0.74","0.38","19.62","0.36","4.51","4.17","0.25","18.57","0.56","0.45","0.14","0.46","0.52","0.26","13.8","0.25","3.17","2.93","0.17500000000000002","13.06"
"05/01/2024","2.87","1.4","0.45","1.45","1.59","0.82","48.4","0.79","10.85","9.52","0.5750000000000001","41.97","1.31","0.64","0.21","0.66","0.73","0.38","22.13","0.36","4.96","4.35","0.275","19.19","0.92","0.45","0.14","0.46","0.51","0.26","15.5","0.25","3.47","3.05","0.17500000000000002","13.44"
"04/01/2024","3.3","1.4","0.45","1.45","1.59","0.82","44.43","0.79","10.5","8.67","0.5750000000000001","39.63","1.52","0.64","0.21","0.67","0.73","0.38","20.43","0.36","4.83","3.99","0.275","18.22","1.05","0.45","0.14","0.46","0.51","0.26","14.14","0.25","3.34","2.76","0.17500000000000002","12.62"
"03/01/2024","3.43","1.4","0.45","1.45","1.59","0.82","43.1","0.79","10.45","8.4","0.5750000000000001","39.6","1.59","0.65","0.21","0.67","0.74","0.38","19.94","0.37","4.84","3.89","0.275","18.32","1.1","0.45","0.14","0.47","0.51","0.26","13.86","0.25","3.36","2.7","0.17500000000000002","12.73"
"02/01/2024","1.9","1.4","0.45","1.45","1.64","0.82","43.56","0.79","10.7","8.51","0.5750000000000001","40.13","0.88","0.65","0.21","0.68","0.76","0.38","20.29","0.37","4.98","3.96","0.275","18.69","0.61","0.45","0.14","0.46","0.52","0.26","13.94","0.25","3.42","2.72","0.17500000000000002","12.84"
"01/01/2024","1.82","1.4","0.45","1.45","1.78","0.82","42.53","0.79","10.33","9.13","0.5750000000000001","40","0.85","0.66","0.21","0.68","0.83","0.38","19.93","0.37","4.84","4.28","0.275","18.74","0.59","0.45","0.15","0.47","0.57","0.26","13.71","0.25","3.33","2.94","0.17500000000000002","12.9"
"12/01/2023","1.72","1.4","0.45","1.45","2.14","0.82","41.13","0.79","9.63","8.34","0.5750000000000001","39","0.81","0.66","0.21","0.68","1.01","0.38","19.38","0.37","4.54","3.93","0.275","18.37","0.55","0.45","0.15","0.47","0.69","0.26","13.26","0.25","3.11","2.69","0.17500000000000002","12.57"
"11/01/2023","1.37","1.4","0.45","1.45","2.08","0.82","41.06","0.79","9.4","8.42","0.5750000000000001","39.12","0.65","0.66","0.21","0.69","0.99","0.38","19.46","0.37","4.45","3.99","0.275","18.54","0.44","0.45","0.14","0.46","0.66","0.26","13.1","0.25","3","2.69","0.17500000000000002","12.48"
"10/01/2023","1.44","1.4","0.45","1.45","1.98","0.82","41.61","0.79","9.28","9.72","0.5750000000000001","39.02","0.68","0.66","0.21","0.69","0.94","0.38","19.76","0.38","4.41","4.62","0.275","18.53","0.45","0.44","0.14","0.46","0.62","0.26","13.09","0.25","2.92","3.06","0.17500000000000002","12.28"
"09/01/2023","2","1.4","0.45","1.45","2.04","0.82","41.22","0.79","9.08","9.77","0.5750000000000001","38.46","0.96","0.67","0.22","0.69","0.98","0.4","19.73","0.38","4.35","4.68","0.275","18.41","0.64","0.45","0.14","0.46","0.65","0.26","13.1","0.25","2.89","3.11","0.17500000000000002","12.23"
"08/01/2023","1.57","1.4","0.45","1.45","1.89","0.82","41.03","0.79","8.55","9.23","0.5750000000000001","38.68","0.76","0.68","0.22","0.7","0.91","0.4","19.79","0.38","4.12","4.45","0.275","18.66","0.51","0.45","0.15","0.47","0.61","0.26","13.24","0.25","2.76","2.98","0.17500000000000002","12.49"
"07/01/2023","1.34","1.4","0.45","1.45","1.67","0.82","40.71","0.79","8.5","8.47","0.5750000000000001","37.85","0.65","0.68","0.22","0.7","0.81","0.4","19.76","0.38","4.12","4.11","0.275","18.37","0.44","0.46","0.15","0.47","0.54","0.26","13.27","0.26","2.77","2.76","0.17500000000000002","12.34"
"06/01/2023","1.7","1.4","0.45","1.45","1.61","0.82","39.24","0.79","8.58","8.88","0.5750000000000001","37.3","0.83","0.68","0.22","0.71","0.79","0.4","19.18","0.39","4.19","4.34","0.275","18.23","0.55","0.45","0.15","0.47","0.52","0.26","12.65","0.25","2.77","2.86","0.17500000000000002","12.03"
"05/01/2023","3.14","1.4","0.45","1.45","1.71","0.82","40.04","0.79","8.58","8.63","0.5750000000000001","37.78","1.54","0.69","0.22","0.71","0.84","0.4","19.66","0.39","4.21","4.24","0.275","18.55","1.02","0.46","0.15","0.47","0.56","0.26","13.02","0.26","2.79","2.81","0.17500000000000002","12.28"
"04/01/2023","3.04","1.4","0.45","1.45","1.93","0.82","39.19","0.79","8.55","8.76","0.5750000000000001","37.69","1.5","0.69","0.22","0.72","0.95","0.4","19.33","0.39","4.22","4.32","0.275","18.59","0.99","0.46","0.15","0.47","0.63","0.26","12.82","0.26","2.8","2.87","0.2","12.33"
"03/01/2023","2.41","1.4","0.45","1.45","1.93","0.82","37.89","0.79","8.5","9.17","0.5750000000000001","36.22","1.2","0.7","0.22","0.72","0.96","0.4","18.91","0.39","4.24","4.58","0.275","18.08","0.77","0.45","0.14","0.47","0.62","0.26","12.17","0.25","2.73","2.95","0.17500000000000002","11.64"
"02/01/2023","2.18","1.4","0.45","1.45","2.1","0.82","36.44","0.79","8.4","9.5","0.5750000000000001","35.13","1.1","0.7","0.23","0.73","1.06","0.42","18.31","0.4","4.22","4.77","0.3","17.66","0.7","0.45","0.14","0.47","0.68","0.26","11.72","0.25","2.7","3.06","0.17500000000000002","11.3"
"01/01/2023","1.3","1.4","0.45","1.45","1.8","0.82","34.36","0.79","8.5","8.51","0.5750000000000001","34.24","0.66","0.71","0.23","0.73","0.91","0.42","17.35","0.4","4.29","4.3","0.3","17.29","0.42","0.45","0.15","0.47","0.58","0.26","11.12","0.26","2.75","2.75","0.17500000000000002","11.08"
"12/01/2022","1.9","1.4","0.45","1.45","2","0.82","33.34","0.79","8.25","8.41","0.5750000000000001","33.27","0.97","0.71","0.23","0.74","1.02","0.42","16.98","0.4","4.2","4.28","0.3","16.94","0.6","0.45","0.14","0.46","0.64","0.26","10.6","0.25","2.62","2.67","0.17500000000000002","10.58"
"11/01/2022","3.39","1.4","0.45","1.45","2.34","0.82","32.94","0.79","7.97","7.42","0.5750000000000001","32.9","1.74","0.72","0.23","0.74","1.2","0.42","16.89","0.41","4.09","3.81","0.3","16.87","1.04","0.43","0.14","0.45","0.72","0.26","10.14","0.24","2.45","2.28","0.17500000000000002","10.13"
"10/01/2022","1.83","1.4","0.45","1.45","1.8","0.82","32.28","0.79","7.97","8.44","0.5750000000000001","32.2","0.94","0.72","0.23","0.75","0.93","0.42","16.66","0.41","4.11","4.36","0.3","16.62","0.55","0.42","0.14","0.44","0.55","0.24","9.79","0.24","2.42","2.56","0.17500000000000002","9.76"
"09/01/2022","1.43","1.4","0.45","1.45","1.66","0.82","31.55","0.79","7.9","9.01","0.5750000000000001","31.47","0.75","0.73","0.23","0.76","0.87","0.42","16.45","0.41","4.12","4.7","0.3","16.41","0.44","0.43","0.14","0.45","0.51","0.26","9.71","0.24","2.43","2.77","0.17500000000000002","9.69"
"08/01/2022","1.5","1.4","0.45","1.45","1.63","0.82","30.98","0.79","7.85","8.38","0.5750000000000001","30.96","0.79","0.74","0.24","0.76","0.86","0.44","16.32","0.42","4.14","4.42","0.3","16.31","0.47","0.44","0.14","0.46","0.51","0.26","9.77","0.25","2.48","2.64","0.17500000000000002","9.77"
"07/01/2022","1.45","1.4","0.45","1.45","1.52","0.82","30.85","0.79","7.85","7.99","0.5750000000000001","30.82","0.77","0.74","0.24","0.77","0.8","0.44","16.33","0.42","4.16","4.23","0.3","16.31","0.46","0.44","0.14","0.46","0.48","0.26","9.77","0.25","2.49","2.53","0.17500000000000002","9.76"
"06/01/2022","1.65","1.4","0.45","1.45","1.41","0.82","30.86","0.79","7.55","7.46","0.5750000000000001","30.9","0.88","0.75","0.24","0.78","0.75","0.44","16.5","0.42","4.04","3.99","0.3","16.52","0.53","0.45","0.15","0.47","0.45","0.26","9.96","0.25","2.44","2.41","0.17500000000000002","9.97"
"05/01/2022","1.96","1.4","0.45","1.45","1.58","0.82","30.86","0.79","7.45","6.89","0.5750000000000001","30.84","1.05","0.75","0.24","0.78","0.85","0.44","16.61","0.43","4.01","3.71","0.3","16.6","0.63","0.45","0.14","0.47","0.51","0.26","9.92","0.25","2.4","2.22","0.17500000000000002","9.92"
"04/01/2022","1.89","1.4","0.45","1.45","1.95","0.82","30.61","0.79","7.25","7.03","0.5750000000000001","30.48","1.03","0.76","0.24","0.79","1.06","0.44","16.62","0.43","3.94","3.82","0.3","16.55","0.62","0.46","0.15","0.48","0.64","0.28","10.11","0.26","2.39","2.32","0.2","10.07"
"03/01/2022","1.72","1.4","0.45","1.45","1.61","0.82","30.02","0.79","7.15","7.47","0.5750000000000001","29.47","0.95","0.77","0.25","0.8","0.89","0.46","16.52","0.43","3.93","4.11","0.325","16.22","0.59","0.48","0.16","0.5","0.56","0.28","10.38","0.27","2.47","2.58","0.2","10.19"
"02/01/2022","1.64","1.4","0.45","1.45","1.45","0.82","28.86","0.79","6.95","7.35","0.5750000000000001","28.6","0.91","0.78","0.25","0.8","0.8","0.46","16.01","0.44","3.86","4.08","0.325","15.87","0.57","0.48","0.16","0.5","0.5","0.28","9.98","0.27","2.4","2.54","0.2","9.89"
"01/01/2022","1.64","1.4","0.45","1.45","1.44","0.82","27.2","0.79","6.95","7.27","0.5750000000000001","27.83","0.91","0.78","0.25","0.81","0.8","0.46","15.15","0.44","3.87","4.05","0.325","15.5","0.57","0.48","0.16","0.5","0.5","0.28","9.41","0.27","2.4","2.51","0.2","9.62"
"12/01/2021","1.56","1.4","0.45","1.45","1.49","0.82","27.45","0.79","6.9","7.86","0.5750000000000001","27.87","0.87","0.78","0.25","0.81","0.84","0.46","15.39","0.44","3.87","4.41","0.325","15.63","0.54","0.48","0.15","0.5","0.51","0.28","9.44","0.27","2.37","2.7","0.2","9.58"
"11/01/2021","1.28","1.4","0.45","1.45","1.52","0.82","27.35","0.79","7.07","7.7","0.5750000000000001","27.76","0.72","0.79","0.25","0.82","0.86","0.46","15.4","0.44","3.98","4.34","0.325","15.63","0.44","0.49","0.16","0.5","0.53","0.28","9.51","0.27","2.46","2.68","0.2","9.65"
"10/01/2021","2.1","1.4","0.45","1.45","1.62","0.82","27.96","0.79","7.05","8.18","0.5750000000000001","28.32","1.18","0.79","0.25","0.82","0.91","0.46","15.77","0.45","3.98","4.61","0.325","15.97","0.74","0.49","0.16","0.51","0.57","0.28","9.86","0.28","2.49","2.89","0.2","9.99"
"09/01/2021","1.59","1.4","0.45","1.45","1.42","0.82","28.3","0.79","6.9","7.53","0.5750000000000001","28.35","0.9","0.8","0.26","0.83","0.81","0.46","16.1","0.45","3.93","4.28","0.325","16.13","0.57","0.5","0.16","0.52","0.51","0.3","10.1","0.28","2.46","2.69","0.2","10.12"
"08/01/2021","1.28","1.4","0.45","1.45","1.44","0.82","28.34","0.79","6.75","7.65","0.5750000000000001","28.05","0.73","0.8","0.26","0.83","0.82","0.46","16.23","0.45","3.87","4.38","0.325","16.06","0.46","0.5","0.16","0.52","0.52","0.3","10.15","0.28","2.42","2.74","0.2","10.04"
"07/01/2021","1.16","1.4","0.45","1.45","1.35","0.82","29.56","0.79","6.8","8.13","0.5750000000000001","29.32","0.66","0.8","0.26","0.83","0.77","0.46","16.93","0.45","3.89","4.66","0.325","16.79","0.41","0.5","0.16","0.52","0.48","0.3","10.52","0.28","2.42","2.89","0.2","10.44"
"06/01/2021","1.36","1.4","0.45","1.45","1.26","0.82","28.54","0.79","6.7","6.74","0.5750000000000001","28.55","0.79","0.81","0.26","0.84","0.73","0.48","16.48","0.46","3.87","3.89","0.325","16.49","0.49","0.5","0.16","0.52","0.45","0.3","10.22","0.28","2.4","2.41","0.2","10.23"
"05/01/2021","2.09","1.15","0.45","1.45","1.26","0.82","29.2","0.79","6.7","6.77","0.5750000000000001","29.08","1.21","0.67","0.26","0.84","0.73","0.48","16.95","0.46","3.89","3.93","0.325","16.88","0.76","0.42","0.16","0.53","0.46","0.3","10.64","0.29","2.44","2.47","0.2","10.6"
"04/01/2021","2.48","1.15","0.45","1.45","1.22","0.82","29.12","0.79","6.7","6.8","0.5750000000000001","29.16","1.45","0.67","0.26","0.85","0.71","0.48","16.99","0.46","3.91","3.97","0.325","17.01","0.9","0.42","0.16","0.52","0.44","0.3","10.51","0.29","2.42","2.45","0.2","10.53"
"03/01/2021","1.26","1.15","0.45","1.45","1.22","0.82","28.8","0.79","6.25","6.7","0.5750000000000001","28.8","0.74","0.68","0.27","0.86","0.72","0.48","16.99","0.47","3.69","3.95","0.35000000000000003","16.99","0.45","0.42","0.16","0.52","0.44","0.3","10.4","0.29","2.26","2.42","0.2","10.4"
"02/01/2021","1.59","1.15","0.45","1.45","1.2","0.82","28.63","0.79","6.17","6","0.5750000000000001","28.53","0.94","0.68","0.27","0.86","0.71","0.48","17.01","0.47","3.67","3.57","0.35000000000000003","16.95","0.58","0.42","0.17","0.53","0.44","0.3","10.51","0.29","2.27","2.2","0.2","10.48"
"01/01/2021","2.27","1.15","0.45","1.45","1.15","0.82","28.75","0.79","6.26","6.09","0.5750000000000001","28.41","1.35","0.68","0.27","0.86","0.68","0.48","17.07","0.47","3.72","3.62","0.35000000000000003","16.87","0.84","0.42","0.17","0.54","0.42","0.3","10.61","0.29","2.31","2.25","0.2","10.48"
"12/01/2020","1.27","1.05","0.45","1.45","1.33","0.82","28.43","0.79","6.8","6.32","0.5750000000000001","28.18","0.76","0.63","0.27","0.87","0.8","0.5","16.99","0.47","4.06","3.78","0.35000000000000003","16.85","0.47","0.39","0.17","0.53","0.49","0.3","10.45","0.29","2.5","2.32","0.2","10.36"
"11/01/2020","1.37","1.05","0.45","1.45","1.62","0.82","29.18","0.79","6.8","6.18","0.5750000000000001","28.45","0.82","0.63","0.27","0.87","0.97","0.5","17.5","0.47","4.08","3.71","0.35000000000000003","17.06","0.5","0.38","0.16","0.53","0.59","0.3","10.61","0.29","2.47","2.25","0.2","10.35"
"10/01/2020","1.74","1.05","0.45","1.45","1.47","0.82","29.5","0.79","6.73","7.6","0.5750000000000001","29.49","1.04","0.63","0.27","0.87","0.88","0.5","17.67","0.47","4.03","4.55","0.35000000000000003","17.67","0.63","0.38","0.16","0.53","0.53","0.3","10.69","0.29","2.44","2.75","0.2","10.68"
"09/01/2020","0.86","1.05","0.45","1.45","1.24","0.82","29.61","0.79","6.73","7.54","0.5750000000000001","29.43","0.52","0.63","0.27","0.88","0.75","0.5","17.89","0.48","4.07","4.55","0.35000000000000003","17.78","0.31","0.38","0.16","0.53","0.45","0.3","10.77","0.29","2.45","2.74","0.2","10.7"
"08/01/2020","0.86","1.05","0.45","1.45","1.14","0.82","30.15","0.79","6.95","6.14","0.5750000000000001","30.09","0.52","0.64","0.27","0.88","0.69","0.5","18.32","0.48","4.22","3.73","0.35000000000000003","18.29","0.31","0.38","0.16","0.53","0.42","0.3","11","0.29","2.54","2.24","0.2","10.98"
"07/01/2020","0.89","1.05","0.45","1.45","1.06","0.82","28.65","0.8","7.15","6.44","0.5750000000000001","28.38","0.54","0.64","0.27","0.88","0.65","0.5","17.46","0.49","4.36","3.93","0.35000000000000003","17.3","0.32","0.37","0.16","0.52","0.38","0.3","10.2","0.28","2.54","2.29","0.2","10.1"
"06/01/2020","1.56","1.05","0.45","1.45","1.12","0.82","29.33","0.8","7.45","6.09","0.5750000000000001","29.38","0.95","0.64","0.27","0.89","0.68","0.5","17.91","0.49","4.55","3.72","0.35000000000000003","17.94","0.55","0.37","0.16","0.51","0.39","0.28","10.26","0.28","2.6","2.13","0.2","10.27"
"05/01/2020","2.54","1.05","0.45","1.45","1.13","0.82","29.83","0.8","8","5.97","0.5750000000000001","29.9","1.55","0.64","0.27","0.88","0.69","0.5","18.18","0.49","4.88","3.64","0.35000000000000003","18.23","0.88","0.36","0.16","0.5","0.39","0.28","10.29","0.28","2.76","2.06","0.2","10.31"
"04/01/2020","2.49","1.05","0.45","1.45","1.34","0.82","29.38","0.8","7.95","6.46","0.5750000000000001","29.63","1.53","0.64","0.28","0.89","0.82","0.5","18","0.49","4.87","3.96","0.35000000000000003","18.16","0.86","0.36","0.16","0.5","0.46","0.28","10.13","0.28","2.74","2.23","0.2","10.22"
"03/01/2020","1.78","1.05","0.45","1.45","1.4","0.82","28.39","0.8","5.98","7.38","0.5750000000000001","29.35","1.1","0.65","0.28","0.9","0.87","0.5","17.54","0.49","3.7","4.56","0.35000000000000003","18.14","0.62","0.37","0.16","0.51","0.49","0.28","9.89","0.28","2.08","2.57","0.2","10.23"
"02/01/2020","1.67","1.05","0.45","1.45","1.39","0.82","28.17","0.8","5.98","6.16","0.5750000000000001","29.04","1.04","0.65","0.28","0.9","0.87","0.52","17.56","0.5","3.73","3.84","0.35000000000000003","18.1","0.58","0.37","0.16","0.51","0.49","0.28","9.85","0.28","2.09","2.15","0.2","10.15"
"01/01/2020","1.52","1.05","0.45","1.45","1.44","0.82","27.78","0.8","6.13","6.78","0.5750000000000001","28.33","0.95","0.65","0.28","0.9","0.9","0.52","17.31","0.5","3.82","4.23","0.35000000000000003","17.66","0.54","0.37","0.16","0.51","0.51","0.3","9.85","0.28","2.17","2.4","0.2","10.05"
"12/01/2019","1.44","0.97","0.45","1.45","1.53","0.82","27.71","0.8","6.05","6.58","0.5750000000000001","27.93","0.9","0.61","0.28","0.91","0.96","0.52","17.38","0.5","3.79","4.13","0.35000000000000003","17.52","0.51","0.34","0.16","0.51","0.54","0.28","9.76","0.28","2.13","2.32","0.2","9.84"
"11/01/2019","1.16","0.97","0.45","1.45","1.52","0.82","28.03","0.8","5.85","7.27","0.5750000000000001","27.88","0.73","0.61","0.28","0.91","0.96","0.52","17.62","0.5","3.68","4.57","0.35000000000000003","17.53","0.41","0.34","0.16","0.51","0.53","0.28","9.83","0.28","2.05","2.55","0.2","9.78"
"10/01/2019","1.99","0.97","0.45","1.45","1.55","0.82","28.38","0.8","5.88","7.37","0.5750000000000001","28","1.26","0.61","0.28","0.92","0.98","0.52","17.92","0.51","3.71","4.65","0.375","17.68","0.7","0.34","0.16","0.51","0.54","0.28","9.98","0.28","2.07","2.59","0.2","9.84"
