"Date","INTERNATIONAL PRICES, EXPORT, Ukraine, Wheat (feed, <11%), USD/Kg","INTERNATIONAL PRICES, EXPORT, Ukraine, Wheat (milling, offer, f.o.b.), USD/Kg"
"02/01/2025","0.23215","0.24875"
"01/01/2025","0.22313","0.244"
"12/01/2024","0.21922999999999998","0.239"
"11/01/2024","0.21824000000000002","0.24"
"10/01/2024","0.21852000000000002","0.241"
"09/01/2024","0.20381","0.2285"
"08/01/2024","0.20091","0.225"
"07/01/2024","0.19987","0.22"
"06/01/2024","0.21309999999999998","0.2275"
"05/01/2024","0.20912999999999998","0.21725"
"04/01/2024","0.18186000000000002","0.2012"
"03/01/2024","0.174","0.19625"
"02/01/2024","0.17886000000000002","0.20225"
"01/01/2024","0.19147","0.2064"
"12/01/2023","","0.20375"
"11/01/2023","","0.1955"
"10/01/2023","","0.1938"
"09/01/2023","","0.201"
"08/01/2023","","0.2056"
"07/01/2023","0.21206999999999998","0.201"
"06/01/2023","0.21191","0.20267"
"05/01/2023","0.2297",""
"04/01/2023","0.24921000000000001",""
"03/01/2023","0.26126",""
"02/01/2023","0.27",""
"01/01/2023","0.26805",""
"12/01/2022","0.26782",""
"11/01/2022","0.27132",""
"10/01/2022","0.27905",""
"09/01/2022","0.27105",""
"08/01/2022","",""
"07/01/2022","",""
"06/01/2022","",""
"05/01/2022","",""
"04/01/2022","","0.37667"
"03/01/2022","0.375","0.425"
"02/01/2022","0.30410000000000004","0.314"
"01/01/2022","0.31433","0.3315"
"12/01/2021","0.319","0.33125"
"11/01/2021","0.322","0.3378"
"10/01/2021","0.30225","0.316"
"09/01/2021","0.286","0.30325"
"08/01/2021","0.2666","0.2868"
"07/01/2021","0.225","0.2415"
"06/01/2021","0.24880000000000002","0.25660000000000005"
"05/01/2021","0.26625","0.2735"
"04/01/2021","0.248","0.255"
"03/01/2021","0.2698","0.26880000000000004"
"02/01/2021","0.28025","0.28275"
"01/01/2021","0.27825","0.28775"
"12/01/2020","0.2508","0.25939999999999996"
"11/01/2020","0.24875","0.25525"
"10/01/2020","0.242","0.2525"
"09/01/2020","0.21980000000000002","0.2294"
"08/01/2020","0.199","0.20375"
"07/01/2020","0.1955","0.208"
"06/01/2020","0.19340000000000002","0.2052"
"05/01/2020","0.215","0.224"
"04/01/2020","0.21775","0.2265"
"03/01/2020","0.206","0.2122"
"02/01/2020","0.2165","0.21975"
"01/01/2020","0.2175","0.22375"
"12/01/2019","0.2046","0.21259999999999998"
"11/01/2019","0.19775","0.2075"
"10/01/2019","0.19419999999999998","0.2012"
"09/01/2019","0.1795","0.1855"
"08/01/2019","0.183","0.1935"
"07/01/2019","0.1832","0.1972"
"06/01/2019","0.182","0.20175"
"05/01/2019","0.18825","0.2075"
"04/01/2019","0.21","0.222"
"03/01/2019","0.2145","0.2265"
"02/01/2019","0.22675","0.23825"
"01/01/2019","0.2248","0.2384"
"12/01/2018","0.21875","0.23275"
"11/01/2018","0.2145","0.226"
"10/01/2018","0.21159999999999998","0.2294"
"09/01/2018","0.2","0.2195"
"08/01/2018","0.20425","0.2265"
"07/01/2018","0.19019999999999998","0.2072"
"06/01/2018","0.19275","0.2015"
"05/01/2018","0.2002","0.2092"
"04/01/2018","0.20175","0.2105"
"03/01/2018","0.19825","0.20625"
"02/01/2018","0.18975","0.19925"
"01/01/2018","0.182","0.19219999999999998"
"12/01/2017","0.18","0.18975"
"11/01/2017","0.1795","0.19175"
"10/01/2017","0.177","0.193"
"09/01/2017","0.169","0.1875"
"08/01/2017","0.1658","0.18880000000000002"
"07/01/2017","0.173","0.18925"
"06/01/2017","0.17225","0.18475"
"05/01/2017","0.1744","0.1854"
"04/01/2017","0.1745","0.18825"
"03/01/2017","0.1785","0.18875"
"02/01/2017","0.177","0.1875"
"01/01/2017","0.1696","0.18359999999999999"
"12/01/2016","0.16875","0.184"
"11/01/2016","0.1672","0.18225"
"10/01/2016","0.162","0.1745"
"09/01/2016","0.1545","0.17"
"08/01/2016","0.162","0.1714"
"07/01/2016","0.15675","0.1655"
"06/01/2016","0.17625","0.181"
"05/01/2016","0.1746","0.18619999999999998"
"04/01/2016","0.16875","0.18275"
"03/01/2016","0.16440000000000002","0.178"
"02/01/2016","0.17025","0.1815"
"01/01/2016","0.1725","0.18725"
"12/01/2015","0.18280000000000002","0.1948"
"11/01/2015","0.1855","0.19775"
"10/01/2015","0.181","0.19475"
"09/01/2015","0.1676","0.18380000000000002"
"08/01/2015","0.17375","0.1875"
"07/01/2015","0.186","0.19575"
"06/01/2015","0.18819999999999998","0.19119999999999998"
"05/01/2015","0.18475","0.19975"
"04/01/2015","0.19375","0.21"
"03/01/2015","0.1966","0.2176"
"02/01/2015","0.20725","0.232"
"01/01/2015","0.22833","0.258"
"12/01/2014","0.22440000000000002","0.25980000000000003"
"11/01/2014","0.20975","0.24775"
"10/01/2014","0.1965","0.23875"
"09/01/2014","0.19019999999999998","0.241"
"08/01/2014","0.19575","0.24625"
"07/01/2014","0.2174","0.252"
"06/01/2014","0.2335","0.2755"
"05/01/2014","0.25725","0.28525"
"04/01/2014","0.2558","0.2892"
"03/01/2014","0.2535","0.28875"
"02/01/2014","0.245","0.27725"
"01/01/2014","0.2495","0.28425"
"12/01/2013","0.25880000000000003","0.2932"
"11/01/2013","0.25725","0.287"
"10/01/2013","0.24719999999999998","0.2738"
"09/01/2013","0.23","0.2485"
"08/01/2013","0.225","0.248"
"07/01/2013","0.231","0.24919999999999998"
"06/01/2013","0.24875","0.3"
"05/01/2013","0.24825","0.305"
"04/01/2013","0.25125","0.3098"
"03/01/2013","","0.34125"
"02/01/2013","","0.345"
"01/01/2013","","0.342"
"12/01/2012","","0.34"
"11/01/2012","0.33","0.34"
"10/01/2012","0.329","0.34"
"09/01/2012","0.31875","0.31625"
"08/01/2012","0.2975","0.30125"
"07/01/2012","0.284","0.286"
"06/01/2012","0.23625","0.25625"
"05/01/2012","0.25","0.2605"
"04/01/2012","0.2575","0.26725"
"03/01/2012","0.257","0.26825"
"02/01/2012","0.26375","0.26225"
"01/01/2012","0.24875","0.2475"
"12/01/2011","0.227","0.23825"
"11/01/2011","0.22875","0.24559999999999998"
"10/01/2011","0.2275","0.24125"
"09/01/2011","0.255","0.26875"
"08/01/2011","0.25625","0.2562"
"07/01/2011","0.233","0.245"
"06/01/2011","0.26125","0.3225"
"05/01/2011","","0.35"
"04/01/2011","","0.3475"
"03/01/2011","","0.3514"
"02/01/2011","","0.35975"
"01/01/2011","","0.3255"
"12/01/2010","","0.292"
"11/01/2010","","0.2892"
"10/01/2010","0.26","0.28375"
"09/01/2010","0.26","0.28"
"08/01/2010","","0.272"
"07/01/2010","0.1726","0.19775"
"06/01/2010","0.14475","0.169"
"05/01/2010","0.1595","0.17325"
"04/01/2010","0.16019999999999998","0.17225"
"03/01/2010","0.15575","0.173"
"02/01/2010","0.157","0.17875"
"01/01/2010","0.165","0.18425"
"12/01/2009","0.175","0.18480000000000002"
"11/01/2009","0.1655","0.17375"
"10/01/2009","0.151","0.16575"
"09/01/2009","0.1275","0.16240000000000002"
"08/01/2009","0.13","0.16925"
"07/01/2009","0.137","0.17075"
"06/01/2009","0.1625","0.18419999999999997"
"05/01/2009","0.157","0.1785"
"04/01/2009","0.1325","0.173"
"03/01/2009","0.13125","0.1754"
"02/01/2009","0.1425","0.18"
"01/01/2009","0.124","0.17325"
"12/01/2008","0.11375","0.17"
"11/01/2008","0.12125","0.17"
"10/01/2008","0.1544","0.18875"
"09/01/2008","0.18975","0.253"
"08/01/2008","0.206","0.28"
"07/01/2008","0.245","0.28"
"06/01/2008","0.2825","0.3"
"05/01/2008","0.316","0.3"
"04/01/2008","0.39",""
"03/01/2008","0.3875",""
"02/01/2008","0.33",""
"01/01/2008","0.31125",""
"12/01/2007","0.305",""
"11/01/2007","0.3",""
"10/01/2007","0.29625",""
"09/01/2007","0.2975",""
"08/01/2007","0.264",""
"07/01/2007","0.24375",""
"06/01/2007","0.213","0.19"
"05/01/2007","0.1975","0.19"
"04/01/2007","0.18625",""
"03/01/2007","0.187",""
"02/01/2007","0.19",""
"01/01/2007","0.19",""
"12/01/2006","0.19",""
"11/01/2006","0.18125",""
"10/01/2006","0.16666999999999998","0.11"
"09/01/2006","0.15940000000000001","0.11"
"08/01/2006","0.1375","0.11"
"07/01/2006","0.12275","0.11"
"06/01/2006","0.1288","0.11"
"05/01/2006","0.121","0.11"
"04/01/2006","0.1145","0.11"
"03/01/2006","0.1168","0.11"
"02/01/2006","0.11625","0.11"
"01/01/2006","0.11","0.11"
"12/01/2005","0.11","0.11"
"11/01/2005","0.10625","0.11"
"10/01/2005","0.098","0.11"
"09/01/2005","0.097","0.11"
"08/01/2005","0.097","0.10840000000000001"
"07/01/2005","0.1044","0.108"
"06/01/2005","0.1115","0.109"
"05/01/2005","0.1115","0.1176"
"04/01/2005","0.115","0.12175"
"03/01/2005","0.12","0.125"
"02/01/2005","0.11925","0.12575"
"01/01/2005","0.1185","0.132"
"12/01/2004","0.12","0.132"
"11/01/2004","0.12","0.129"
"10/01/2004","0.1088","0.125"
"09/01/2004","0.10833","0.125"
"08/01/2004","","0.125"
"07/01/2004","","0.123"
"06/01/2004","",""
"05/01/2004","",""
"04/01/2004","",""
"03/01/2004","",""
"02/01/2004","",""
"01/01/2004","",""
"12/01/2003","",""
"11/01/2003","",""
"10/01/2003","",""
"09/01/2003","",""
"08/01/2003","","0.11"
"07/01/2003","","0.11"
"06/01/2003","","0.11"
"05/01/2003","","0.11"
"04/01/2003","","0.11"
"03/01/2003","0.094","0.11"
"02/01/2003","0.09525","0.1095"
"01/01/2003","0.084","0.1065"
"12/01/2002","0.082","0.1052"
"11/01/2002","0.08059999999999999","0.102"
"10/01/2002","0.079","0.09759999999999999"
"09/01/2002","0.0755","0.09325"
"08/01/2002","0.0706","0.0915"
"07/01/2002","0.07075","0.08940000000000001"
"06/01/2002","0.0755","0.089"
"05/01/2002","0.079","0.094"
"04/01/2002","0.078","0.097"
"03/01/2002","0.0792","0.097"
"02/01/2002","0.0875","0.10025"
"01/01/2002","0.09033","0.103"
"12/01/2001","0.09025","0.1025"
"11/01/2001","0.0872","0.1015"
"10/01/2001","0.079","0.1044"
"09/01/2001","0.076","0.106"
"08/01/2001","0.0804","0.1015"
"07/01/2001","0.082","0.097"
"06/01/2001","0.0825","0.095"
"05/01/2001","0.08767","0.095"
"04/01/2001","0.092","0.095"
"03/01/2001","0.092","0.095"
"02/01/2001","0.08825","0.095"
"01/01/2001","0.087","0.095"
"12/01/2000","0.086","0.095"
"11/01/2000","0.083","0.095"
"10/01/2000","0.083","0.095"
"09/01/2000","0.083","0.095"
"08/01/2000","0.081","0.095"
"07/01/2000","0.0865","0.0935"
"06/01/2000","0.0882","0.09625"
"05/01/2000","","0.1"
"04/01/2000","","0.1"
"03/01/2000","","0.1"
"02/01/2000","","0.1"
"01/01/2000","","0.09575"