Date,"Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), UAH/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), USD/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, highest grade, offer, EXW), UAH-real/Kg","Ukraine, WHOLESALE, National Average, Wheat (flour, first grade, offer, EXW), UAH-real/Kg","Ukraine, WHOLESALE, National Average, Wheat (3rd class, bid, EXW, processing), UAH-real/Kg"
2000-01-01,1.14,0.96,,0.2118499999999999,0.1784,,3.64383,3.06849,
2000-02-01,1.28,1.165,,0.23092,0.21017,,3.96062,3.60478,
2000-03-01,1.446,1.322,,0.2644499999999999,0.24177,,4.38653,4.01037,
2000-04-01,1.5025,1.3925,,0.27707,0.25679,,4.481739999999999,4.15363,
2000-05-01,1.5125,1.4025,,0.27988,0.25953,,4.41877,4.09741,
2000-06-01,1.532,1.426,,0.28182,0.26233,,4.316050000000001,4.01742,
2000-07-01,1.52,1.4715,,0.27948,0.27057,,4.28653,4.14975,
2000-08-01,1.4638,1.3513,,0.26916,0.24847,,4.12804,3.81078,
2000-09-01,1.384,1.29,,0.25446,0.23718,,3.80409,3.54572,
2000-10-01,1.3725,1.275,,0.25236,0.23443,,3.7204,3.45611,
2000-11-01,1.345,1.2575,,0.24737,0.23128,,3.63133,3.39509,
2000-12-01,1.33,1.256,,0.24467,0.23106,,3.5342800000000003,3.33764,
2001-01-01,1.3313,1.2563,0.73,0.2450399999999999,0.23123,0.13436,3.48545,3.2891,1.9112
2001-02-01,1.3638,1.2625,0.7713,0.25118,0.23252,0.14205,3.54925,3.28562,2.00728
2001-03-01,1.41,1.293,0.805,0.26008,0.2385,0.14849,3.64759,3.34492,2.08249
2001-04-01,1.44,1.2975,0.8425,0.26577,0.23947,0.15549,3.67015,3.30696,2.14729
2001-05-01,1.4375,1.275,0.845,0.26553,0.23551,0.15609,3.64918,3.23667,2.14508
2001-06-01,1.428,1.272,0.84,0.26439,0.2355,0.15552,3.60345,3.20979,2.11967
2001-07-01,1.3975,1.25,0.535,0.26019,0.23273,0.09961,3.58747,3.20883,1.37338
2001-08-01,1.214,1.038,0.472,0.22706,0.1941399999999999,0.08828,3.12266,2.66995,1.2140799999999998
2001-09-01,1.0025,0.8675,0.4525,0.18777,0.1624799999999999,0.08475,2.56836,2.2225,1.15929
2001-10-01,0.9325,0.8375,0.4175,0.1756,0.15771,0.07862,2.3842600000000003,2.14136,1.06748
2001-11-01,0.888,0.775,0.4174,0.16795,0.14658,0.07894,2.25918,1.9717,1.06192
2001-12-01,0.8713,0.7513,0.417,0.16457,0.14191,0.07876,2.18179,1.8813,1.04419
2002-01-01,0.8713,0.7463,0.421,0.16401,0.14048,0.07925,2.16179,1.85165,1.04455
2002-02-01,0.875,0.75,0.4213,0.16444,0.14095,0.07918,2.2008,1.8864,1.05965
2002-03-01,0.873,0.74,0.4082,0.16403,0.13904,0.0767,2.21096,1.87412,1.03381
2002-04-01,0.87,0.733,0.3983,0.16331,0.13759,0.07476,2.17329,1.83106,0.99497
2002-05-01,0.861,0.7252000000000001,0.399,0.1616,0.13611,0.07489,2.15712,1.81689,0.99964
2002-06-01,0.8488,0.715,0.399,0.15927,0.13416,0.07487,2.16464,1.82342,1.01754
2002-07-01,0.8325,0.7112999999999999,0.376,0.1562299999999999,0.13348,0.07056,2.15524,1.84147,0.97342
2002-08-01,0.79,0.686,0.339,0.14824,0.1287299999999999,0.06361,2.04935,1.77956,0.8794099999999999
2002-09-01,0.7425,0.6387999999999999,0.335,0.13932,0.11986,0.06286,1.92224,1.65377,0.86727
2002-10-01,0.7275,0.6213,0.3575,0.1365,0.11658,0.06708,1.87018,1.59718,0.91902
2002-11-01,0.746,0.632,0.404,0.13995,0.11857,0.07579,1.90437,1.6133499999999998,1.03132
2002-12-01,0.7925,0.6775,0.4325,0.14864,0.12707,0.08112,1.99525,1.70572,1.08889
2003-01-01,0.844,0.726,0.455,0.15827,0.1361399999999999,0.08532,2.09406,1.80129,1.12891
2003-02-01,0.98,0.8338,0.51,0.1837299999999999,0.15632,0.09561,2.40587,2.04695,1.25203
2003-03-01,1.17,0.9925,0.6275,0.21933,0.18605,0.11763,2.83967,2.40887,1.52299
2003-04-01,1.23,1.05,0.705,0.23059,0.19685,0.1321699999999999,2.96564,2.53164,1.69982
2003-05-01,1.189,1.034,0.705,0.22294,0.19388,0.13219,2.8667800000000003,2.4930700000000003,1.69982
2003-06-01,1.395,1.1725,0.7938,0.26158,0.21986,0.1488499999999999,3.36031,2.8243400000000003,1.91212
2003-07-01,1.6775,1.39,0.8575,0.3146,0.26069,0.16082,4.0446,3.35141,2.0675100000000004
2003-08-01,1.58,1.35,0.824,0.29634,0.2532,0.15455,3.87514,3.31104,2.02096
2003-09-01,1.6,1.4125,0.9788,0.3001,0.26493,0.18358,3.89808,3.44127,2.38465
2003-10-01,1.796,1.59,1.075,0.33685,0.29822,0.20162,4.32218,3.82643,2.58705
2003-11-01,1.8525,1.7048,1.1388,0.34743,0.31973,0.21358,4.375970000000001,4.02708,2.69007
2003-12-01,1.845,1.7225,1.15,0.34604,0.32306,0.21569,4.29103,4.00612,2.67462
2004-01-01,1.854,1.727,1.179,0.34776,0.32394,0.22115,4.25405,3.96265,2.70525
2004-02-01,1.925,1.7713,1.2363,0.36112,0.33229,0.23193,4.397279999999999,4.04618,2.82408
2004-03-01,1.9225,1.7788,1.2338,0.36073,0.33376,0.2315,4.375970000000001,4.0488800000000005,2.80836
2004-04-01,1.887,1.755,1.173,0.3541,0.32933,0.22012,4.26486,3.96653,2.65113
2004-05-01,1.8063,1.7138,1.0675,0.33906,0.3217,0.20038,4.05387,3.84628,2.39579
2004-06-01,1.7225,1.6175,0.8925,0.32366,0.30393,0.1677,3.83891,3.6049,1.9891
2004-07-01,1.564,1.442,0.594,0.2940899999999999,0.27115,0.11169,3.48566,3.21376,1.32384
2004-08-01,1.2875,1.22,0.515,0.2423,0.2296,0.09692,2.87193,2.72136,1.14877
2004-09-01,1.1575,1.0625,0.5425,0.218,0.20011,0.10217,2.54867,2.3395,1.19452
2004-10-01,1.168,1.034,0.555,0.22009,0.19484,0.1045799999999999,2.51772,2.22887,1.1963499999999998
2004-11-01,1.2,1.005,0.5662999999999999,0.22615,0.1894,0.10672,2.5460100000000003,2.13229,1.20151
2004-12-01,1.2,1.0,0.589,0.22616,0.18847,0.11101,2.48632,2.07194,1.22037
2005-01-01,1.1975,1.0,0.5938,0.22575,0.1885099999999999,0.11194,2.43973,2.03735,1.20978
2005-02-01,1.1775,0.9888,0.5762999999999999,0.2221699999999999,0.1865699999999999,0.1087399999999999,2.37886,1.99764,1.16428
2005-03-01,1.1463,0.9788,0.5575,0.21661,0.18496,0.10535,2.2776300000000003,1.94482,1.10772
2005-04-01,1.123,0.963,0.536,0.2162899999999999,0.1854799999999999,0.10324,2.21762,1.90166,1.05845
2005-05-01,1.1038,0.935,0.5038,0.21857,0.18515,0.09976,2.16639,1.83509,0.98879
2005-06-01,1.0625,0.9025,0.485,0.2102,0.17854,0.09595,2.07266,1.76054,0.94611
2005-07-01,1.033,0.89,0.474,0.20442,0.17613,0.0938,2.00699,1.72916,0.92092
2005-08-01,1.0213,0.8775,0.445,0.20224,0.17376,0.08812,1.98426,1.70487,0.86458
2005-09-01,0.989,0.851,0.445,0.19584,0.16851,0.08812,1.91379,1.64675,0.86111
2005-10-01,1.0088,0.855,0.4888,0.19976,0.16931,0.09679,1.93655,1.6413,0.93833
2005-11-01,1.12,0.91,0.555,0.22178,0.1802,0.1099,2.12462,1.72625,1.05282
2005-12-01,1.133,0.925,0.556,0.22436,0.18317,0.1100999999999999,2.12833,1.73761,1.04444
2006-01-01,1.1238,0.9213,0.54,0.22253,0.18244,0.10693,2.08664,1.71065,1.00266
2006-02-01,1.1475,0.9388,0.5612999999999999,0.22723,0.1859,0.11115,2.09433,1.71343,1.02444
2006-03-01,1.19,0.958,0.594,0.23564,0.1896999999999999,0.11762,2.17602,1.75179,1.08618
2006-04-01,1.1813,0.92,0.5988,0.23392,0.18218,0.11857,2.16834,1.68871,1.0991300000000002
2006-05-01,1.1513,0.92,0.58,0.22798,0.18218,0.11485,2.1052600000000004,1.6823,1.06058
2006-06-01,1.102,0.898,0.583,0.21822,0.17782,0.11545,2.01129,1.63896,1.06405
2006-07-01,1.08,0.9063,0.5838,0.21386,0.17947,0.1156,1.95632,1.64168,1.0575
2006-08-01,1.09,0.93,0.5938,0.21584,0.18416,0.11758,1.97443,1.68461,1.07561
2006-09-01,1.251,1.061,0.679,0.24772,0.2100999999999999,0.13446,2.22016,1.88297,1.20503
2006-10-01,1.305,1.1225,0.7363,0.25842,0.22228,0.1458,2.2577800000000003,1.94204,1.2738699999999998
2006-11-01,1.365,1.14,0.74,0.2703,0.22574,0.14653,2.31994,1.93753,1.2577
2006-12-01,1.328,1.132,0.74,0.26297,0.22416,0.14653,2.23732,1.90712,1.2467
2007-01-01,1.285,1.12,0.74,0.25446,0.22178,0.14653,2.1535900000000003,1.87706,1.2402
2007-02-01,1.28,1.0675,0.74,0.25347,0.21139,0.14653,2.13039,1.77671,1.23163
2007-03-01,1.288,1.07,0.747,0.25505,0.2118799999999999,0.14792,2.14,1.7778,1.24114
2007-04-01,1.3625,1.1725,0.7775,0.2698,0.23218,0.15396,2.26379,1.9481,1.29181
2007-05-01,1.395,1.2238,0.8162999999999999,0.27624,0.24234,0.1616399999999999,2.30586,2.02287,1.3493
2007-06-01,1.648,1.372,0.972,0.3263399999999999,0.27168,0.1924799999999999,2.66464,2.21837,1.5716199999999998
2007-07-01,1.5625,1.3575,0.8913,0.30941,0.26881,0.1765,2.49293,2.1658600000000003,1.42205
2007-08-01,1.624,1.42,0.999,0.32158,0.28119,0.19782,2.574,2.25067,1.58339
2007-09-01,1.6575,1.45,1.0825,0.32822,0.28713,0.21436,2.5721100000000003,2.2501100000000003,1.67982
2007-10-01,1.72,1.485,1.1438,0.3405899999999999,0.29406,0.2265,2.59391,2.23951,1.72495
2007-11-01,1.76,1.526,1.225,0.34851,0.30218,0.2425699999999999,2.59335,2.24856,1.80503
2007-12-01,1.77,1.53,1.2363,0.3505,0.30297,0.24481,2.5572600000000003,2.21051,1.78618
2008-01-01,1.7713,1.53,1.24,0.35075,0.30297,0.2455399999999999,2.48463,2.14616,1.73937
2008-02-01,1.827,1.61,1.326,0.36178,0.31881,0.2625699999999999,2.49733,2.20071,1.81251
2008-03-01,1.9075,1.8575,1.4,0.37772,0.36782,0.27723,2.51119,2.44537,1.84308
2008-04-01,1.915,1.88,1.37,0.37921,0.37228,0.27129,2.44427,2.3995900000000003,1.7486400000000002
2008-05-01,1.913,1.878,1.319,0.3837,0.37668,0.26456,2.41295,2.3688,1.66371
2008-06-01,1.9013,1.8688,1.2438,0.39186,0.38517,0.25635,2.37642,2.3358000000000003,1.55462
2008-07-01,2.075,1.91,1.1838,0.42845,0.39438,0.24443,2.60705,2.39974,1.48734
2008-08-01,2.134,1.928,1.108,0.44049,0.39797,0.22871,2.68468,2.42552,1.39392
2008-09-01,2.0913000000000004,1.895,1.1075,0.43093,0.39048,0.22821,2.60377,2.35936,1.3788900000000002
2008-10-01,2.044,1.822,0.999,0.40532,0.36129,0.1981,2.49966,2.22817,1.2217
2008-11-01,1.9888,1.7938,0.815,0.33124,0.2987599999999999,0.13574,2.39867,2.16349,0.98296
2008-12-01,1.9363,1.73,0.75,0.2554,0.22819,0.09893,2.2867,2.04307,0.8857200000000001
2009-01-01,1.928,1.713,0.761,0.25039,0.22247,0.09883,2.21184,1.96519,0.8730399999999999
2009-02-01,1.9988,1.7925,0.9113,0.25958,0.23279,0.11835,2.26077,2.02743,1.03074
2009-03-01,2.0363,1.7975,0.9388,0.2644499999999999,0.23344,0.12192,2.2712,2.00485,1.0471
2009-04-01,2.0013,1.7363,0.9125,0.25991,0.22549,0.11851,2.21168,1.91882,1.00842
2009-05-01,1.973,1.727,0.911,0.25781,0.22566,0.11904,2.17045,1.89983,1.00217
2009-06-01,1.9825,1.78,0.9975,0.26032,0.23373,0.1309799999999999,2.15629,1.93603,1.08494
2009-07-01,2.006,1.819,0.922,0.26229,0.23784,0.1205499999999999,2.18431,1.98069,1.00396
2009-08-01,1.9573,1.7538,0.9175,0.25072,0.22466,0.11753,2.13611,1.91402,1.00132
2009-09-01,1.8875,1.6975,0.8837999999999999,0.2359699999999999,0.21221,0.1104899999999999,2.04144,1.83594,0.95588
2009-10-01,1.843,1.668,0.938,0.23037,0.2085,0.11725,1.97557,1.78798,1.00547
2009-11-01,1.9388,1.6975,1.1,0.24252,0.21234,0.1376,2.05766,1.80157,1.16744
2009-12-01,2.026,1.7338,1.1575,0.25395,0.21733,0.14509,2.1291,1.82203,1.21641
2010-01-01,2.085,1.764,1.177,0.26072,0.22058,0.14718,2.1535300000000004,1.82198,1.2156900000000002
2010-02-01,2.15,1.865,1.1975,0.26874,0.23312,0.14968,2.17864,1.88984,1.21345
2010-03-01,2.1938,1.9125,1.2063,0.27536,0.24005,0.15141,2.20448,1.92181,1.21217
2010-04-01,2.166,1.896,1.182,0.27329,0.23922,0.1491299999999999,2.18109,1.90921,1.19023
2010-05-01,2.1075,1.8475,1.1738,0.26591,0.2331,0.1480999999999999,2.13557,1.87211,1.18943
2010-06-01,2.0975,1.8513,1.1625,0.26498,0.23388,0.14686,2.13441,1.88388,1.18296
2010-07-01,2.128,1.899,1.182,0.26931,0.24033,0.14959,2.17003,1.93651,1.20535
2010-08-01,2.5075,2.2075,1.3675,0.3178,0.2797699999999999,0.17331,2.52761,2.2252,1.37847
2010-09-01,2.5525,2.27,1.425,0.32268,0.28697,0.18014,2.49976,2.22309,1.3955499999999998
2010-10-01,2.604,2.352,1.597,0.32918,0.29733,0.20188,2.5373,2.29175,1.55609
2010-11-01,2.6113000000000004,2.3638000000000003,1.6113,0.3293899999999999,0.29817,0.20325,2.53672,2.29629,1.56528
2010-12-01,2.603,2.36,1.621,0.32719,0.2966399999999999,0.20375,2.50842,2.27425,1.5620999999999998
2011-01-01,2.6163000000000003,2.39,1.6313,0.32911,0.3006399999999999,0.2052,2.49628,2.28036,1.55646
2011-02-01,2.8625,2.6125,1.82,0.36048,0.329,0.2292,2.70706,2.47064,1.72117
2011-03-01,3.1325,2.775,1.9813,0.39432,0.34932,0.24941,2.92225,2.58875,1.84832
2011-04-01,3.126,2.766,1.973,0.39247,0.3472699999999999,0.24771,2.87719,2.54585,1.81596
2011-05-01,3.1013,2.7588000000000004,1.96,0.3888999999999999,0.34595,0.24578,2.83281,2.51997,1.79032
2011-06-01,3.0825,2.78,1.9675,0.38661,0.34867,0.2467599999999999,2.80501,2.52974,1.79038
2011-07-01,3.062,2.836,1.71,0.3841299999999999,0.35578,0.21452,2.82098,2.61277,1.5754
2011-08-01,2.9813,2.7575,1.567,0.37401,0.34594,0.19658,2.75983,2.5526500000000003,1.4505899999999998
2011-09-01,2.867,2.667,1.597,0.3596,0.33451,0.20031,2.65147,2.4665100000000004,1.47694
2011-10-01,2.7975,2.6175,1.555,0.3508,0.32823,0.19499,2.5872,2.42073,1.4381
2011-11-01,2.71625,2.56875,1.55625,0.34022,0.32174,0.1949199999999999,2.50724,2.37109,1.4365
2011-12-01,2.69,2.547,1.567,0.33668,0.3187799999999999,0.19613,2.47826,2.34652,1.4436600000000002
