Date,"Bangladesh, RETAIL, Dhaka, Wheat (flour), BDT/Kg","Bangladesh, RETAIL, National Average, Wheat (flour), BDT/Kg","Bangladesh, WHOLESALE, Dhaka, Wheat (flour), BDT/Kg","Bangladesh, RETAIL, Dhaka, Wheat (flour), BDT-real/Kg","Bangladesh, RETAIL, National Average, Wheat (flour), BDT-real/Kg","Bangladesh, WHOLESALE, Dhaka, Wheat (flour), BDT-real/Kg","Bangladesh, RETAIL, Dhaka, Wheat (flour), USD/Kg","Bangladesh, RETAIL, National Average, Wheat (flour), USD/Kg","Bangladesh, WHOLESALE, Dhaka, Wheat (flour), USD/Kg","Egypt, RETAIL, National Average, Wheat (flour), EGP/Kg","Egypt, RETAIL, National Average, Wheat (flour), EGP-real/Kg","Egypt, RETAIL, National Average, Wheat (flour), USD/Kg","Indonesia, RETAIL, National Average, Wheat (flour), IDR/Kg","Indonesia, RETAIL, National Average, Wheat (flour), IDR-real/Kg","Indonesia, RETAIL, National Average, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Sebha, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, National Average, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Murzuq, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Misrata, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Benghazi, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Alkufra, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Algatroun, Wheat (flour), LYD/Kg","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Sebha, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, National Average, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Murzuq, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Misrata, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Benghazi, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Alkufra, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Algatroun, Wheat (flour), LYD-real/Kg","Libyan Arab Jamahiriya, RETAIL, Tripoli center, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Sebha, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, National Average, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Murzuq, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Misrata, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Benghazi, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Alkufra, Wheat (flour), USD/Kg","Libyan Arab Jamahiriya, RETAIL, Algatroun, Wheat (flour), USD/Kg","Pakistan, RETAIL, Quetta, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Peshawar, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Multan, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Lahore, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Karachi, Wheat (flour), PKR/Kg","Pakistan, RETAIL, Quetta, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Peshawar, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Multan, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Lahore, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Karachi, Wheat (flour), PKR-real/Kg","Pakistan, RETAIL, Quetta, Wheat (flour), USD/Kg","Pakistan, RETAIL, Peshawar, Wheat (flour), USD/Kg","Pakistan, RETAIL, Multan, Wheat (flour), USD/Kg","Pakistan, RETAIL, Lahore, Wheat (flour), USD/Kg","Pakistan, RETAIL, Karachi, Wheat (flour), USD/Kg"
1998-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,12000.0,12000.0,11.8,14.0,26.64,24.59,24.59,24.18,28.69,0.23,0.21,0.21,0.21,0.24
2004-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,12200.0,12500.0,11.8,14.6,26.73,25.09,25.7,24.26,30.02,0.23,0.21,0.22,0.21,0.25
2004-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14300.0,12500.0,12800.0,11.8,15.1,29.11,25.44,26.05,24.02,30.73,0.25,0.22,0.22,0.21,0.26
2004-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500.0,12000.0,12000.0,11.8,13.1,25.2,24.19,24.19,23.79,26.41,0.22,0.21,0.21,0.21,0.23
2004-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13300.0,12100.0,12000.0,12.1,14.9,26.63,24.23,24.03,24.23,29.83,0.23,0.21,0.21,0.21,0.26
2004-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13400.0,12000.0,11800.0,12.3,14.2,26.53,23.76,23.36,24.35,28.12,0.23,0.21,0.2,0.21,0.25
2004-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600.0,12600.0,12500.0,12.7,14.8,26.56,24.61,24.41,24.8,28.91,0.23,0.22,0.21,0.22,0.25
2004-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13800.0,13000.0,12500.0,12.7,15.0,26.8,25.24,24.27,24.66,29.13,0.24,0.22,0.21,0.22,0.26
2004-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13800.0,13000.0,12500.0,12.7,14.9,26.7,25.15,24.18,24.57,28.82,0.23,0.22,0.21,0.22,0.25
2004-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13900.0,13900.0,12900.0,12.6,14.4,26.57,26.57,24.66,24.09,27.53,0.23,0.23,0.22,0.21,0.24
2004-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14200.0,14300.0,13900.0,12.9,15.5,26.85,27.04,26.28,24.39,29.31,0.24,0.24,0.23,0.22,0.26
2004-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14800.0,14000.0,13400.0,13.0,15.1,28.22,26.7,25.55,24.79,28.79,0.25,0.24,0.23,0.22,0.25
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400.0,14000.0,13200.0,12.8,14.6,27.2,26.44,24.93,24.17,27.57,0.24,0.24,0.22,0.22,0.25
2005-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14300.0,14000.0,13500.0,13.2,14.6,26.74,26.18,25.25,24.69,27.3,0.24,0.24,0.23,0.22,0.25
2005-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500.0,14000.0,13800.0,13.8,14.1,26.77,25.85,25.48,25.48,26.03,0.25,0.24,0.23,0.23,0.24
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14300.0,14200.0,13000.0,13.8,13.7,25.95,25.77,23.59,25.04,24.86,0.24,0.24,0.22,0.23,0.23
2005-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,13500.0,12800.0,12.8,13.5,23.7,24.61,23.33,23.33,24.61,0.22,0.23,0.22,0.22,0.23
2005-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12700.0,13400.0,13000.0,12.5,14.0,23.13,24.4,23.67,22.76,25.49,0.21,0.22,0.22,0.21,0.23
2005-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12700.0,15000.0,12900.0,13.0,14.0,22.76,26.88,23.12,23.3,25.09,0.21,0.25,0.22,0.22,0.23
2005-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12800.0,13600.0,12600.0,13.2,13.8,22.23,23.62,21.88,22.92,23.96,0.21,0.23,0.21,0.22,0.23
2006-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,13600.0,12600.0,13.2,14.0,22.5,23.54,21.81,22.85,24.23,0.22,0.23,0.21,0.22,0.23
2006-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,13700.0,12700.0,13.1,13.9,22.45,23.66,21.93,22.62,24.0,0.22,0.23,0.21,0.22,0.23
2006-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,13700.0,12500.0,13.2,13.8,22.22,23.42,21.37,22.56,23.59,0.22,0.23,0.21,0.22,0.23
2006-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200.0,13200.0,12200.0,12.9,13.7,22.46,22.46,20.76,21.95,23.31,0.22,0.22,0.2,0.21,0.23
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13300.0,13100.0,12100.0,12.9,13.7,22.5,22.16,20.47,21.82,23.18,0.22,0.22,0.2,0.21,0.23
2006-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200.0,13300.0,12200.0,13.1,13.9,21.98,22.14,20.31,21.81,23.14,0.22,0.22,0.2,0.22,0.23
2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13300.0,13600.0,12700.0,13.3,14.4,21.87,22.36,20.88,21.87,23.68,0.22,0.23,0.21,0.22,0.24
2006-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13400.0,13500.0,12700.0,13.3,14.7,21.97,22.13,20.82,21.8,24.1,0.22,0.22,0.21,0.22,0.24
2006-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200.0,13300.0,12500.0,13.0,13.8,21.56,21.72,20.42,21.23,22.54,0.22,0.22,0.21,0.21,0.23
2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200.0,13600.0,12900.0,13.4,14.8,21.41,22.05,20.92,21.73,24.0,0.22,0.22,0.21,0.22,0.24
2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13800.0,13800.0,13000.0,13.6,15.0,22.27,22.27,20.98,21.95,24.21,0.23,0.23,0.21,0.22,0.25
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14130.0,15170.0,14000.0,16.0,17.77,23.01,24.7,22.8,26.05,28.94,0.23,0.25,0.23,0.26,0.29
2007-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14130.0,15170.0,14000.0,16.0,17.77,22.77,24.45,22.56,25.79,28.64,0.23,0.25,0.23,0.26,0.29
2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14130.0,15170.0,14000.0,16.0,17.77,22.66,24.33,22.45,25.66,28.5,0.23,0.25,0.23,0.26,0.29
2007-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500.0,15170.0,14000.0,16.0,17.76,23.18,24.25,22.38,25.58,28.39,0.24,0.25,0.23,0.26,0.29
2007-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14100.0,14330.0,12750.0,13.5,15.35,22.34,22.7,20.2,21.39,24.32,0.23,0.24,0.21,0.22,0.25
2007-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500.0,15170.0,14000.0,16.0,18.0,22.92,23.98,22.13,25.3,28.46,0.24,0.25,0.23,0.26,0.3
2007-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15190.0,16000.0,15000.0,17.0,19.5,23.77,25.04,23.48,26.61,30.52,0.25,0.26,0.25,0.28,0.32
2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15750.0,16000.0,15000.0,17.0,19.5,24.33,24.72,23.17,26.26,30.12,0.26,0.26,0.25,0.28,0.32
2007-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15700.0,17820.0,15500.0,15.6,17.87,23.75,26.95,23.45,23.6,27.03,0.26,0.29,0.26,0.26,0.29
2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17250.0,19670.0,17000.0,19.5,21.0,25.78,29.39,25.4,29.14,31.38,0.28,0.32,0.28,0.32,0.35
2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000.0,20670.0,18000.0,20.5,21.5,28.35,30.84,26.86,30.59,32.08,0.31,0.34,0.3,0.34,0.35
2007-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19880.0,21500.0,18000.0,17.0,20.82,29.49,31.9,26.7,25.22,30.89,0.32,0.35,0.29,0.28,0.34
2008-01-01,39.5,,,47.41,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21100.0,23300.0,19200.0,18.2,20.2,30.72,33.92,27.95,26.49,29.41,0.34,0.38,0.31,0.3,0.33
2008-02-01,40.39,,,48.37,,,0.59,,,,,,6970.0,8030.87,0.76,,,,,,,,,,,,,,,,,,,,,,,,,15250.0,17330.0,16000.0,16.2,16.6,22.09,25.1,23.18,23.47,24.05,0.25,0.28,0.26,0.26,0.27
2008-03-01,42.25,,,50.07,,,0.62,,,,,,7101.0,8113.03,0.77,,,,,,,,,,,,,,,,,,,,,,,,,15250.0,19300.0,16630.0,16.3,17.5,21.43,27.12,23.37,22.91,24.59,0.25,0.31,0.27,0.27,0.29
2008-04-01,,,,,,,,,,,,,7062.0,8047.19,0.77,,,,,,,,,,,,,,,,,,,,,,,,,27500.0,25370.0,19880.0,20.7,23.58,37.51,34.6,27.12,28.23,32.16,0.43,0.4,0.31,0.32,0.37
2008-05-01,,,,,,,,,,,,,7080.0,7968.62,0.76,,,,,,,,,,,,,,,,,,,,,,,,,30000.0,28320.0,20000.0,20.7,29.0,39.85,37.62,26.56,27.49,38.52,0.44,0.42,0.29,0.31,0.43
2008-06-01,,,,,,,,,,,,,7110.0,7813.38,0.77,,,,,,,,,,,,,,,,,,,,,,,,,27000.0,24080.0,20000.0,20.7,27.73,35.12,31.33,26.02,26.93,36.07,0.4,0.36,0.3,0.31,0.41
2008-07-01,37.5,,34.3359,41.86,,38.3273,0.55,,0.5011,,,,7078.0,7672.96,0.77,,,,,,,,,,,,,,,,,,,,,,,,,27600.0,26700.0,21400.0,22.1,29.2,34.75,33.61,26.94,27.82,36.76,0.39,0.38,0.3,0.31,0.41
2008-08-01,37.32,,33.0644,41.58,,36.835,0.54,,0.4826,,,,7105.0,7663.09,0.78,,,,,,,,,,,,,,,,,,,,,,,,,27500.0,26440.0,22310.0,22.3,29.5,33.89,32.59,27.5,27.49,36.36,0.37,0.35,0.3,0.3,0.4
2008-09-01,35.45,,29.75,38.95,,32.69,0.52,,0.4342,,,,7276.0,7771.99,0.78,,,,,,,,,,,,,,,,,,,,,,,,,27000.0,31100.0,20200.0,20.7,30.2,32.96,37.96,24.66,25.27,36.86,0.35,0.4,0.26,0.27,0.39
2008-10-01,34.5,,28.9622,38.06,,31.9505,0.5,,0.4225,,,,7326.0,7790.31,0.73,,,,,,,,,,,,,,,,,,,,,,,,,33000.0,35800.0,24900.0,23.1,34.3,39.45,42.79,29.77,27.61,41.0,0.41,0.45,0.31,0.29,0.43
